Field wcs_err tot
S21017 5 129
S12051 4 173
S07073 65 317
N04119 33 406
N04053 38 406
S09021 12 284
S04077 45 358
N32040 29 523
S15009 9 181
N60052 4 64
N15092 16 114
S26110 4 45
N57046 8 102
S21020 4 133
S18057 4 111
S07029 11 208
S18005 8 152
S04068 70 398
N29085 17 172
S07032 19 237
N40065 17 253
S09068 24 254
N15011 14 308
N38055 20 300
S04017 9 284
N21024 4 337
N01022 19 390
N18008 4 352
N46052 4 147
S07118 32 376
N32076 28 402
N35043 20 435
U03EA2 1 8
S07126 12 244
FK2501 2 27
N43035 16 308
S04127 8 269
N07087 4 362
N63022 5 129
N01126 32 348
FL1401 3 7
S07030 13 151
U1992A 4 4
N07079 52 387
U07591 4 4
N32055 20 349
S07122 40 342
N29027 2 20
N40077 12 98
S12079 39 255
N26076 28 258
N15008 4 285
N55053 8 164
N01073 40 382
S21073 12 149
N21005 6 386
S18080 28 180
N23066 23 342
S07063 21 271
N18064 18 421
N29088 8 32
S01015 12 297
N21018 32 405
N01089 8 316
S12023 4 266
N23041 17 532
N15013 27 385
N09073 27 376
N26079 32 405
N49040 4 194
N15069 27 380
N07001 13 314
N46071 8 57
N07069 48 415
N35006 8 237
N07081 49 401
N63037 4 76
N26046 47 496
N04067 42 402
S26067 8 60
U92E6A 1 12
N29028 2 16
S07003 8 296
N09048 28 441
U0C941 1 6
UA3D27 2 4
U01WF2 1 8
FD2402 4 16
S01076 36 382
N40030 31 414
N43009 1 70
N01047 33 408
N01060 63 387
N09016 29 368
FD1603 4 12
N21002 4 314
N46055 8 176
N26112 4 268
N01023 18 388
S09024 13 303
N35032 22 329
S01006 12 289
N35078 18 397
N12008 13 329
N43047 16 264
S15117 9 203
S18051 1 105
N15047 49 563
N18033 4 9
N26073 24 336
S04070 45 330
U48639 1 20
N38079 9 136
U52543 4 4
N04121 21 385
N23006 10 354
S21081 16 58
S18021 5 153
N43045 15 214
N57034 8 124
N12057 44 416
N29053 13 391
N09063 46 414
S01059 47 375
FK3006 4 8
FJ2105 1 24
N18016 29 415
N09065 24 431
N07119 28 375
N01021 17 382
N07046 36 491
S01045 1 258
S21104 4 174
S29001 4 28
N23043 40 544
N04083 42 358
N40029 20 279
S23064 4 52
N09024 37 435
N18006 8 377
S15027 1 187
S04076 50 352
N09093 20 145
N07007 37 378
S15023 4 228
N32054 20 354
USZ501 8 8
N29002 4 298
S04080 49 382
N23019 28 100
N29012 16 394
FA3001 4 20
S12123 4 195
N12063 32 422
N18062 24 444
S07055 11 313
S01058 40 358
N40050 17 310
N55042 12 125
N40001 5 229
S18069 13 161
N01056 36 386
N35073 34 382
N04032 13 242
S04049 8 317
N43029 9 385
N32052 18 339
N26047 39 487
S18115 6 175
N40055 17 261
N29071 16 335
N21051 38 522
S21064 16 88
N21067 20 355
S07052 8 252
USZ002 8 8
N60049 5 129
N38067 17 303
N60048 5 134
S12078 32 235
S04087 50 187
N21061 24 424
N15056 34 453
N32037 28 535
U667AE 4 4
N43054 12 228
N23017 34 406
N21029 4 12
N29022 4 359
N60042 10 104
S12086 21 282
FF1902 4 16
FD1601 4 25
N49035 4 213
N01004 56 354
S01067 47 395
S18019 7 168
N15046 69 557
S15018 8 227
S04124 16 348
S23112 1 102
S18012 7 169
N26057 16 402
S15116 9 203
FL2904 4 8
S09086 20 267
FF1402 4 12
U09205 8 8
S09055 6 257
FC2602 4 16
N38081 9 29
S12008 13 238
N40074 16 321
N46040 4 247
N01092 12 200
N29047 29 494
N21081 33 398
N18082 36 395
N52027 16 264
N35039 28 489
N52038 8 162
N12118 9 386
N43055 13 216
N29050 17 466
N18046 48 518
N04051 36 424
S01084 40 350
N63024 4 101
N23064 8 332
N09012 40 286
N26022 5 404
N23047 41 514
N12021 21 404
N29066 13 312
S07070 51 366
N21116 5 344
N21014 18 341
S04125 8 341
FJ0902 7 23
S09122 28 274
S01114 24 445
N01007 20 299
UCOV06 1 24
S01027 20 360
N07122 6 340
S18107 23 270
S15083 31 196
N23088 8 149
S04032 25 226
N63045 5 97
N40062 20 239
FA2701 4 28
N57023 14 200
N21006 14 379
N21008 11 382
S21110 4 134
FK2202 2 25
S15052 4 171
FA2703 4 16
N07085 34 389
N15050 72 549
S12111 26 350
S04019 16 313
N23057 21 419
N18119 5 366
U04KD1 4 4
N09028 13 386
N52051 4 140
S01091 20 285
S04031 20 239
N01113 24 428
N40004 1 216
N21065 18 372
S07087 25 310
N01085 16 327
N07118 25 339
S18111 16 208
N18088 28 406
N15091 16 199
N23058 17 408
N40032 40 481
N55050 8 132
FL1603 3 20
UNEAT2 2 2
N15080 24 390
S04090 12 325
N26066 28 332
N09081 40 390
N23013 16 398
S01023 22 389
S18083 8 101
FE2201 4 8
N09126 12 361
N23052 33 502
N66043 4 80
N38053 16 321
N01108 16 28
FG2703 3 16
UA9B77 1 10
N26056 20 406
N63047 4 100
N09076 28 354
U87024 1 13
N21114 4 380
N15025 5 340
S15007 10 207
N18013 23 320
N21092 4 18
N32061 26 324
N15090 20 292
N21038 35 162
FI0504 1 4
N55061 12 40
N01118 28 379
N26024 4 266
S01116 32 415
N26016 21 399
S07009 24 301
FH2605 4 5
N38032 37 505
FA3007 4 16
N38046 16 375
N43073 12 163
S15061 16 172
S04021 13 350
N21007 15 370
S07002 12 275
U00010 4 4
S09033 4 151
N09021 21 420
N38068 17 318
N18072 12 232
N46026 13 239
S23025 1 89
N26089 6 35
N49058 4 156
N12115 13 396
N43074 8 102
S12050 4 173
U00007 8 12
S04121 25 396
S07058 16 280
N38062 16 276
S09001 9 252
FB1401 4 12
N01030 7 261
N43071 8 274
N49043 9 189
N09059 51 419
U12346 6 6
N18083 37 403
U2D448 1 34
S26064 4 32
N38103 5 253
N49059 5 172
FF1301 4 36
N40067 16 280
FD1801 7 36
N63023 4 126
S07061 21 294
S04061 24 302
S04116 20 413
N29006 12 341
N29013 17 382
FE2105 1 8
FC2701 4 16
S09077 53 293
N35038 36 505
U09EAF 3 3
N21011 8 331
S04022 19 354
N23007 18 361
N26012 8 371
N43060 15 215
S09012 14 282
N26008 10 356
S07074 55 313
FE2301 4 16
N01077 35 393
N26011 10 344
N57042 16 121
U1B2E3 1 8
N21074 32 348
N60045 4 112
N26110 4 337
N21027 4 151
N29078 28 401
S12025 7 278
N12020 29 412
N57030 4 112
N57017 4 43
S23117 4 111
N09025 33 459
N07076 50 402
U01237 8 8
N12120 5 359
N01011 8 295
S09004 6 293
S23073 4 89
N07042 5 134
U0577F 1 12
FF1101 4 16
FF1701 4 24
S18025 4 180
N55032 4 172
S18024 5 180
S12070 31 223
N38060 12 267
N43061 17 223
N40057 17 249
N55022 5 208
FE0205 4 8
S21109 8 132
N46064 4 248
N15085 16 411
N49042 8 182
FJ1902 1 32
FI1201 2 22
S15072 40 241
N09089 8 366
N04005 20 326
N12043 27 414
FH2604 4 5
N04046 32 440
N40053 24 288
N09058 39 422
N26087 10 163
S04055 19 364
N55035 7 128
U028F9 4 4
S04089 20 310
N09008 17 360
S21107 8 153
S04059 28 367
N29060 20 334
N21037 4 53
N40035 25 426
N15007 12 313
S15106 4 184
N18022 24 407
N29083 30 430
N35052 12 353
N46067 8 194
N55038 2 105
U02FE2 4 4
S01063 50 372
N55049 9 129
N18045 58 497
FH2706 4 8
N07050 27 430
N12071 34 382
N01127 32 320
N66041 8 93
N49060 4 191
FD2503 4 8
N35012 6 339
N46044 8 213
N09090 8 251
N21078 26 385
N66020 1 94
S12115 22 334
N12076 9 357
N01012 9 316
N55057 16 158
N60051 6 114
S21075 8 145
N04003 20 336
S01121 27 395
N09054 44 440
S26069 8 53
N21020 28 376
S15071 32 218
S18081 21 175
S04029 33 277
N01114 15 422
S07116 29 370
N04115 18 445
N18122 4 339
S01012 8 299
S12055 4 198
N07111 4 184
S23105 4 89
N21022 8 378
N01083 36 346
N12091 24 283
U09209 8 8
N49025 9 241
U07189 4 4
S21023 1 102
N12054 28 206
FB1301 4 16
S09013 12 269
N04124 17 369
S07077 49 326
U11001 4 4
S18120 4 177
S12057 12 207
N15093 20 39
UAN747 8 8
U3A1C1 1 4
N46043 9 220
S12049 4 161
S04011 16 309
FA2802 4 16
N01066 59 415
N29075 32 380
N01058 48 400
FE2202 4 8
N07121 10 349
N18039 34 159
S23109 5 91
N40072 21 378
FD2602 24 32
N07078 48 401
N29076 40 415
N18113 4 392
S15087 9 126
N01061 64 369
N18040 21 303
UA4988 10 12
N35037 32 484
N32079 12 397
N46090 5 32
N26075 24 324
FE0207 4 4
N04011 9 302
N29059 24 334
N46065 5 256
S04126 20 313
N52040 1 152
N15005 10 342
S26070 4 61
UFtest 2 4
N32075 24 383
S01122 22 374
N52034 11 188
S26113 4 64
N40038 16 299
N21071 20 344
N01128 34 316
S12116 17 336
N40052 24 303
N23074 22 361
N55019 1 26
S04115 20 360
N23038 12 331
N29038 33 558
S12071 43 127
N12085 35 388
S15118 4 174
N35045 16 416
S01070 45 352
UQ4003 4 4
N15067 22 392
FE2401 4 32
N04113 28 416
S09125 4 215
N04091 7 273
FL2001 3 23
N49041 8 189
U02FE0 8 8
S18008 4 160
S12058 9 196
N52030 13 216
N15083 20 315
N07083 46 388
S18078 24 191
N15049 60 509
N57038 10 100
N38071 25 341
N29086 16 96
N01015 16 340
UGEN01 1 1
N38100 1 253
N09027 17 435
FG0101 4 17
N15066 22 398
N26036 1 235
S09081 28 216
N38063 16 245
S15081 39 194
S01029 36 324
U00001 4 153
N07067 36 418
N07025 30 437
N32044 34 474
S09061 24 273
N15088 30 415
N18076 24 360
FK1705 2 18
N55037 6 141
N23022 5 398
N55043 12 92
N49064 9 195
N26051 30 505
S07064 26 300
S26004 1 75
N15061 37 443
N09051 30 457
N29049 26 468
S15075 40 248
N32043 36 472
N01032 17 251
S23026 1 78
S21111 4 144
N57022 14 214
N49066 12 183
S21032 1 37
S18065 17 109
S15068 12 186
N09092 16 259
S15055 4 151
S15004 12 201
FL1305 4 4
N35076 29 405
N23024 5 289
S15025 3 222
N23009 21 366
N12062 37 384
S15056 4 143
N04064 59 416
N35080 18 255
S18063 12 100
N29052 13 422
N07053 43 450
N04094 3 48
FC1401 4 28
S29064 4 20
N18011 14 330
N26035 1 40
N40031 31 466
S09049 4 193
N46037 4 253
FB2201 4 24
S15111 21 296
N12080 43 417
N07080 37 368
FA3101 5 20
S18070 17 186
N60050 4 114
N29067 16 320
N38054 20 306
S04046 5 260
N04122 25 385
S01009 16 298
N07093 12 127
N07021 20 404
N12011 28 328
N35031 20 195
FC2702 4 16
N57018 4 57
S04086 44 300
S04007 8 294
S18007 7 165
S04065 54 355
N29081 24 448
S23067 8 84
N12112 8 291
N46057 11 188
N26059 14 354
N18115 4 407
S09029 6 241
N26005 5 350
FF1404 4 4
S12072 50 291
N38043 16 401
N12119 8 371
S15065 16 125
N21086 32 458
N01031 12 266
N32080 17 408
N18010 13 295
N04009 12 305
N66036 4 75
N35040 16 482
N09042 12 158
S07025 17 326
FE0302 4 8
FA2803 4 14
N26028 4 17
N01055 33 401
N29040 56 580
N38014 1 192
FE0302 4 8
S01060 42 364
FK2903 4 12
S09020 16 259
N18053 36 490
N09064 32 407
S01048 21 361
S26104 4 45
N43052 8 232
N49028 8 327
N74028 1 32
N12004 19 357
S04122 20 380
FE0302 4 8
N26028 4 17
N43001 5 119
S01108 12 16
N12111 8 218
S26001 4 77
S07115 32 397
S09072 56 197
N15117 9 379
FH2102 4 4
N07077 44 402
S09019 12 251
S23071 4 90
S09089 4 250
N40036 24 393
N12004 19 357
N15081 20 383
N09088 13 356
N38001 5 331
U38D9C 1 14
N09068 32 403
S21105 13 198
N29008 12 341
N21066 18 368
N09062 45 409
N43056 12 222
FC1901 4 16
N23079 40 395
U3F0C1 3 24
N04062 58 406
N32013 16 370
FI2505 1 8
S15030 1 156
S26032 1 8
S07085 32 303
N12026 2 408
FE0203 4 12
N29003 4 302
N04012 16 331
N12025 13 417
S21121 1 145
N32007 12 360
N32081 19 388
S01119 38 384
FD1106 1 4
S12007 10 244
N12022 24 372
S04113 25 445
N46027 15 345
N07052 28 430
N21040 28 441
N40054 20 283
N21019 28 397
S07054 14 297
S04013 12 292
S23104 5 98
N01003 156 268
FD2101 4 13
S04047 5 286
N32071 28 321
S26033 1 8
N26015 8 390
N29004 5 306
N01109 16 47
Utest2 2 3
N46034 12 206
S12080 33 257
N57031 4 124
N12077 8 381
N12018 32 419
N26067 28 350
N01067 50 401
S21004 4 132
N04014 20 341
N35013 9 329
N07070 45 396
FL2901 4 20
N04066 50 383
UA9B8E 1 2
S21108 8 144
S01064 52 396
N21118 1 334
S18073 25 194
N23071 12 304
N40059 16 248
FH2704 4 8
N12089 30 360
N04061 63 389
S04112 21 384
S15010 5 194
N29044 49 533
N38038 24 423
N35061 20 317
N57021 14 219
N12010 25 332
N29073 28 307
N26113 4 333
N18063 15 436
N23015 21 381
FE0105 4 8
N23012 16 394
S01110 16 172
U2EED5 1 16
N29058 24 347
FF2003 4 8
FC1602 4 24
N21001 5 335
S15011 4 199
N09009 32 360
N38045 16 386
S01092 4 176
S04053 8 323
N35003 1 300
S12065 24 260
N09055 48 434
S01111 13 183
N18075 20 339
FA3004 4 24
N32042 28 504
S21062 12 97
S26066 8 52
S09109 4 213
N09074 27 374
N43059 15 211
S04003 10 245
S04071 57 347
N26088 6 122
S18013 6 172
N43050 13 250
N35071 32 345
N35035 32 517
N18052 60 506
S01069 54 366
N23044 40 512
N01065 66 441
N21121 11 293
N23046 38 509
N01024 29 415
S09026 17 301
S21069 19 139
N07060 56 385
N21053 46 539
N52063 8 112
N09060 55 416
N43075 8 54
N66019 2 93
N09119 16 369
N18024 14 236
S09051 4 125
N23001 1 310
N57019 4 91
FK2904 4 8
S01087 24 327
N15022 32 391
N26006 13 339
S23068 8 88
S29068 4 16
S12120 6 223
N55026 22 215
FA1901 4 32
N15024 13 148
N18111 6 243
S18084 8 132
N01090 8 313
N04071 29 410
S01030 26 148
N40058 20 244
S07083 36 321
N40037 16 378
N23020 29 422
N12084 35 376
S29065 8 24
N18087 32 450
N18074 19 101
S01032 27 232
N23061 8 377
U007DE 3 13
N40045 16 314
N21115 5 374
S01050 28 382
N55030 12 181
N18034 4 9
U01238 2 2
S01054 30 397
S04075 40 321
N01050 40 362
U0B2E3 5 28
S15069 20 188
N01013 8 313
N15009 10 298
N29010 20 366
S01005 4 247
N52022 4 126
FL1101 4 24
FG0502 4 4
N49056 2 162
N01082 32 346
N43062 15 231
N04020 19 365
N21058 31 464
S21115 1 135
N35081 29 186
N52024 16 282
S07016 8 293
N09022 22 420
S09008 17 292
S09015 12 273
N18041 21 426
N07029 9 141
N04069 30 339
S07086 32 313
S09108 4 137
FL2905 4 8
N29068 20 316
N12046 48 495
U0B2F1 1 8
U15E54 4 14
FG0102 4 16
S12001 4 235
N57047 8 121
S15005 16 192
N23010 18 346
S15062 16 180
N07084 45 291
N23039 12 393
S01016 17 315
N04006 28 371
N07043 12 300
S01120 31 352
N09005 30 348
N04128 22 292
S04064 29 318
S12005 9 233
N12017 42 417
N09046 36 472
N07054 44 434
FI1806 1 20
N43040 8 310
N35105 1 304
N23065 16 332
N12049 44 517
N23089 8 64
U81CF2 1 8
N09083 37 380
N07086 30 396
N15044 59 551
N49029 8 292
S07060 24 291
N21016 25 384
N35082 9 113
S12073 59 304
N12113 13 392
N21082 29 386
FL2905 4 8
U15E54 4 14
FG0102 4 16
U0B2F1 1 8
S15062 16 180
N57047 8 121
S15005 16 192
S01016 17 315
N07084 45 291
N21088 24 373
N09046 36 472
N09005 30 348
S01120 31 352
S04064 29 318
U81CF2 1 8
S12005 9 233
N07086 30 396
N09083 37 380
N49029 8 292
N21016 25 384
N15044 59 551
S12073 59 304
S07060 24 291
N35082 9 113
N21113 4 381
N12113 13 392
N43053 13 232
S09078 41 281
N01122 29 393
N38042 16 395
N21082 29 386
N01048 32 414
N29020 5 408
N18050 68 570
N26069 24 335
N04024 21 398
S12004 4 236
N32069 28 314
N29070 20 331
S09050 4 156
S26109 4 41
S12126 1 205
N32034 14 303
N21032 4 17
N09072 32 376
S18075 24 177
S15001 8 190
S23110 5 94
S18076 16 181
FE3102 8 12
USZ5W1 8 8
N26068 32 351
N23049 33 436
N21017 32 397
N21112 4 339
FE0103 8 21
S04016 12 295
S04085 40 249
N66038 4 87
N15059 39 393
S07001 17 268
FL1901 16 28
N01008 17 311
N15021 21 419
S09016 12 252
S12081 28 248
S21102 4 76
S04051 4 300
N60039 4 93
N46032 13 282
S09088 16 187
N23023 5 376
N26063 21 336
N15073 16 346
U03B03 8 8
S23078 12 57
S04052 4 300
S18055 4 109
S12068 20 244
S21066 20 113
S29066 8 28
N18029 4 56
S01062 47 355
N07006 40 365
S18026 4 161
N55036 9 153
N04058 53 456
N15018 40 451
N32036 16 474
N01051 32 432
N12050 52 514
N35050 8 367
N29063 20 311
N04019 19 375
N32056 28 348
U3FOCA 2 16
U2E78A 2 16
N46042 4 229
N52039 9 152
S26034 1 8
N15003 14 352
N07109 4 25
FH2707 4 8
S07010 20 276
FB1001 8 25
U005VS 1 7
N09123 8 374
N29011 16 383
N09011 28 274
FK1201 1 40
N21073 26 227
N01044 13 242
S09127 4 198
S15012 5 212
N29065 20 331
N60023 4 140
N40039 16 345
N12048 32 488
N12081 43 413
S04025 24 286
N12061 44 411
S07114 20 359
S09010 16 239
N23075 18 369
FD1604 4 16
FD2301 1 24
FD2103 4 12
S07121 36 379
S15020 16 222
S04123 18 375
N04028 22 377
S12056 8 208
S21065 21 100
S23107 5 91
N35004 4 313
S18123 1 157
N09120 12 351
N04060 72 409
N18030 4 35
UNEAT5 2 2
N60046 5 128
N15070 27 387
S26071 4 73
N40048 23 324
S23075 15 99
S21076 8 145
N52023 5 188
N01117 24 396
N52056 4 161
N55059 13 116
N29036 24 370
S01055 34 390
N07055 67 470
S07065 25 306
N32004 8 324
N04077 47 391
N23053 24 496
N01071 35 391
N18081 24 404
N38049 12 330
N32046 32 454
S01117 36 400
FA3102 2 15
FD1202 4 20
S09083 24 264
FA3005 4 24
N18089 29 351
S07110 12 321
N12009 21 332
FA0705 2 8
S07084 36 321
N26081 28 420
N09047 36 447
N01079 48 350
N38030 21 246
FB1301 4 16
FF2001 4 20
FC1602 4 24
FD1902 4 13
FA3002 4 24
FA3101 5 20
FC2002 4 16
U00006 8 40
FF1401 5 25
FK2005 1 28
FL2902 4 28
FB2201 4 24
FA1802 4 21
FB2003 5 49
FC1301 5 26
FB2001 4 16
FL1702 4 12
FK2801 4 12
FK2202 2 25
FJ1502 3 16
U00004 20 65
FE0203 4 12
S01030 26 148
FE0303 4 12
FF1302 4 17
FA2803 4 14
FK1705 2 18
FI2505 1 8
FK2204 1 9
N29086 16 96
U2D448 1 34
N07088 10 343
FD2601 24 36
FE0702 4 21
N04124 17 369
UCOV06 1 24
N32034 14 303
N32076 28 402
FD2101 4 13
FF1601 4 21
FI1707 2 12
N66020 1 94
FK0102 1 21
FG0102 4 16
FK3002 3 15
N43028 10 315
N55058 17 158
FL1902 4 12
S01112 32 344
S18006 5 158
FA2802 4 16
FI1201 2 22
N35037 32 484
N26037 25 340
FB1401 4 12
FF0701 4 21
FI2003 7 24
N57046 8 102
FE0901 4 16
FF1301 4 36
U203EA 3 12
FB1602 4 16
FE2301 4 16
FE0701 4 25
FC2302 4 16
FG0101 4 17
N55050 8 132
FL1303 4 20
U00005 8 36
FE0103 8 21
S04111 18 307
FH2907 7 12
UJUPIT 1 8
N57048 12 135
FK1201 1 40
FC1901 4 16
N12017 42 417
FC2301 4 24
N26113 4 333
N32036 16 474
FA2702 4 20
N12046 48 495
FF1902 4 16
FD1203 4 14
FA2703 4 16
FC2704 4 28
FK2502 5 21
FA1801 8 33
FA0603 1 12
S12024 8 283
FD1903 4 12
FD1601 4 25
FE2105 1 8
N29036 24 370
FF1603 4 24
FC2702 4 16
N63021 1 128
FF1801 4 24
N12047 33 475
FE0204 4 16
FB1001 8 25
FI1706 2 24
FI1101 1 20
FJ1902 1 32
N49065 12 208
FE0102 4 28
S18115 6 175
FF1101 4 16
N35080 18 255
FA3001 4 20
FE2401 4 32
N46061 7 215
FC0101 4 32
N46045 9 200
N46027 15 345
U00002 7 73
FA1901 4 32
FK2501 2 27
S07119 29 401
FD2201 4 12
FD2301 1 24
FA3005 4 24
N43054 12 228
FD1602 4 17
U101PB 5 8
FA2701 4 28
FL0301 2 16
FL1101 4 24
FB0901 2 36
N43029 9 385
FL2001 3 23
N57047 8 121
FL1703 4 12
FB1101 4 16
N23016 20 388
U00001 4 153
FE2701 1 27
N40034 31 450
N12015 34 402
FK1901 1 20
Utwilt 49 66
FK0802 1 20
FA0705 2 8
FL1605 1 9
N18123 5 312
N63022 5 129
N43030 18 420
S01031 23 259
FD1202 4 20
N01003 156 268
N43001 5 119
FI2304 1 16
FF2002 4 16
FB1402 16 32
FC1601 4 16
FJ2103 1 24
FA0704 2 8
FC2601 4 24
N46051 4 169
FJ0902 7 23
FE1901 4 17
FD1201 4 24
N32038 33 562
FL2901 4 20
FK0501 1 13
FK2305 1 10
FI1401 1 25
N35038 36 505
U97832 8 24
N69040 1 42
N12077 8 381
FI1801 1 20
N01002 43 233
N55026 22 215
N01004 56 354
S09110 5 311
N12118 9 386
N09059 51 419
FA3004 4 24
N12045 40 489
N38033 30 526
N32039 29 539
U59032 2 8
N26036 1 235
S01127 36 346
U7U03R 1 22
FI1702 1 16
FD2602 24 32
FC0102 4 16
FK1506 1 21
FC2602 4 16
FD2402 4 16
N01001 125 256
FD1801 7 36
FC2701 4 16
FL2903 4 24
FE0101 4 16
S01003 72 249
FC1401 4 28
N46065 5 256
U00003 9 75
FK2205 1 14
N18054 36 509
N66019 2 93
FF1701 4 24
FJ2105 1 24
FL1603 3 20
N04017 17 246
FF1602 4 20
N29038 33 558
FA3003 4 32
FA3102 2 15
FD1604 4 16
FB1902 4 20
FB1901 4 28
S21080 9 75
N26022 5 404
N35076 29 405
N12048 32 488
FL1901 16 28
FJ3106 1 9
N12065 36 447
FK1802 2 29
FK1702 1 28
FK3006 8 8
FK3007 8 4
N01017 14 349
N12094 5 31
N15112 8 358
N52058 4 183
S04004 15 257
S23060 4 43
test1 4 4
test2 2 2
test3 4 4
test4 4 4
