Field wcs_err tot
N21025 6 280
S18117 5 162
N43036 12 291
N43043 8 289
S07006 14 304
N21012 12 333
N18093 16 34
N01046 21 397
N04031 9 261
N12070 34 401
N07051 31 439
S09074 65 316
N43028 10 315
N43065 13 253
N26055 16 406
test2 4 5
FK1702 1 28
S09090 4 167
UA4638 1 4
N04070 29 369
U007D6 3 11
N32001 8 293
N29024 1 195
U15DD2 4 11
N35072 32 358
N69017 2 75
S12088 4 198
N49026 12 317
N18066 24 389
N01069 48 371
S15119 4 140
N07126 16 297
N09020 28 387
S04054 17 357
N12003 10 373
N04018 25 372
N32011 12 366
N09019 32 286
N12068 34 415
N29055 10 342
N38073 29 381
N21047 57 568
N29014 20 382
U20042 4 4
FE3103 1 12
N26038 21 266
N15114 4 395
S18079 26 195
S12061 12 208
N35047 12 391
S18067 17 146
N35056 20 330
FF3001 3 7
N04116 19 439
N15020 29 451
S09025 12 298
N23005 2 363
FA0301 2 8
FF1303 4 16
FK2005 1 28
N12059 48 393
S01088 32 331
S04119 32 396
N07022 27 366
S21001 8 143
S01079 46 394
N38077 20 341
N21088 24 373
N23087 16 268
N46039 4 253
FK2305 1 10
N43068 7 281
N12087 27 398
FD2201 4 12
N55025 14 233
U59032 2 8
N29039 51 596
N07024 28 424
N35067 24 311
S12017 8 248
N23118 1 270
FI1706 2 24
N49033 4 203
U667AF 4 4
S18064 21 113
S07020 20 315
FI1104 6 20
N18015 33 415
N23077 22 381
S12121 4 210
FC2601 4 24
URIK01 12 12
N04110 4 37
N66011 1 48
S01115 20 424
N35055 20 346
N29015 8 383
S18082 16 132
N60024 4 104
S01025 29 389
N21113 4 381
N21015 22 364
N18069 29 395
S15067 8 179
S01008 8 296
N01001 125 256
N07008 12 368
N21054 41 506
N12060 44 405
N04092 3 191
N07124 17 321
N40049 24 334
N29009 17 319
N60016 4 70
S21016 4 120
N04047 40 436
FF0601 4 8
N35059 25 334
S12077 34 234
N49063 4 185
N07058 44 445
N29074 28 343
S09053 13 234
N55054 8 180
S09062 26 258
N32069 28 314
N52025 17 295
N38059 12 272
N01124 25 364
S18106 12 231
N12053 44 465
N15060 38 456
N40079 8 51
N52032 4 209
S21019 4 133
S21082 8 31
N26114 4 333
FD1903 4 12
S04072 64 373
S07062 24 302
N32074 28 377
S09018 12 274
S21078 7 133
N18116 2 388
N09091 4 275
S01073 50 331
N12092 12 205
N23085 29 383
N43037 16 323
N21017 32 397
N29029 2 16
N12058 52 432
N12074 24 365
S12117 19 324
N04117 16 411
N35065 20 320
S07127 8 243
S15058 4 132
N01123 23 362
S23106 8 101
N26078 36 408
S07119 29 401
N18044 58 551
N35064 20 318
N49036 4 199
S23069 8 93
N32016 4 387
S12112 24 357
S12060 12 204
N01054 24 406
N21039 21 290
S23002 6 100
N55056 12 139
N18047 55 569
S04051 4 300
N21009 15 369
N57027 8 157
S01003 72 249
S07017 10 301
pec1 1 1
N63017 3 115
N15079 28 383
FK1802 2 29
N01016 13 336
S15107 5 279
S18014 6 181
N04050 36 430
N46053 4 152
N32005 8 340
S01022 15 368
N12041 24 154
N12024 32 402
S04030 24 196
S09057 8 243
S12021 4 193
S09022 8 306
N15086 24 419
N07006 40 365
S09066 17 265
N29035 1 236
S15115 10 218
N23054 29 490
UQ1510 1 8
N49068 8 60
S04083 20 310
N01116 18 412
N69016 3 80
FD2601 24 36
N32060 30 354
N46050 4 177
N04084 42 347
N18060 38 462
S18074 17 177
N07088 10 343
N09045 24 475
N15006 16 334
FI1707 2 12
S12016 8 240
N35070 25 339
N46042 4 229
N43069 4 312
FF0204 4 4
UYT101 4 4
U00B78 4 4
N21056 32 479
N29016 8 396
N23073 22 345
S04010 20 293
N35096 1 14
N04111 16 72
FE3002 4 7
S07053 16 281
N12125 5 381
D9A2 1 13
N12126 6 333
N12073 28 406
N21120 7 324
N01044 13 242
N01074 44 395
N01017 15 350
N04076 32 372
S21067 16 112
N32010 16 344
S09073 68 300
N32008 16 366
S09011 13 281
S15050 4 141
N04059 60 410
S09085 20 261
S21006 1 108
N15110 4 203
N09030 1 77
N21049 56 569
S12067 24 245
U2F934 1 16
USZ5W2 8 8
FF2702 8 16
N49038 4 197
S04025 24 286
S23020 1 89
N29001 4 211
S09048 4 180
N12005 17 344
N04021 20 378
S09030 7 234
S18061 8 115
N52035 10 192
N26021 16 434
N38040 16 392
S09118 35 380
N40069 21 336
U00012 4 4
N04057 62 493
FD2103 4 12
N07110 4 31
S15020 16 222
N01020 16 375
N15118 8 381
N15077 24 396
S04048 4 298
FI1401 1 25
S07057 12 293
N26010 14 336
S01057 44 385
N09075 26 346
N07115 16 404
N40061 20 260
S18123 1 157
S01021 13 346
S04117 20 377
N35075 25 395
N12014 41 399
FH2803 1 3
U01234 4 4
N18049 68 544
U01236 8 8
N15070 27 387
S21068 15 123
S23021 1 89
N21041 33 566
U4B087 4 4
N46054 4 164
N43039 8 305
S12027 2 244
N57029 4 137
N52029 13 211
N26007 12 337
N18009 9 331
S07078 32 298
FL1702 4 12
N32009 16 355
UCNEAT 2 2
N32083 22 206
FB0705 2 12
N29043 40 510
N23055 32 473
N18048 60 536
N15074 18 358
N15023 29 241
N46069 8 188
N26086 14 231
N40046 20 331
N32085 9 56
S23075 15 99
N57056 14 80
N46038 4 263
S15084 24 199
S01024 21 385
S09002 5 243
N66040 4 76
N23059 8 374
S04091 16 259
S09017 13 273
N52023 5 188
N32045 33 447
N52059 4 164
N40051 25 321
N12075 17 370
FI2004 2 12
N49065 12 208
FB1103 4 13
N15017 42 444
S18010 5 164
S12006 11 225
FB1902 4 20
FC0101 4 32
U03900 4 4
N15084 16 395
S04008 12 289
N12006 20 343
N52056 4 161
N43048 12 271
S15073 40 244
S09047 4 150
N23076 22 375
N15012 18 349
S09027 15 288
S04023 22 361
N49037 4 197
S07069 43 318
N04023 28 391
N55029 12 186
FB2003 5 49
U33A4A 1 9
S04120 33 380
N12110 8 49
N01025 34 409
N12067 42 428
S04081 32 328
S04020 16 330
N04055 46 434
S01112 32 344
N29036 24 370
N29041 45 545
N32062 26 308
N01112 28 258
S18105 9 191
N21070 16 338
N15076 25 404
N52050 4 133
N04087 18 365
N43042 9 310
U99989 1 3
N09017 31 390
N38050 16 359
URIK05 4 4
N40068 19 295
N07028 11 394
N32015 8 382
N12117 9 362
S09009 17 293
N40076 20 150
N26050 50 513
N07113 16 437
N40017 1 108
S09058 12 240
N18019 44 432
S15086 4 187
FL2902 4 28
N40042 16 338
N23063 12 361
S04111 18 307
N15065 34 411
S18072 16 180
N26020 25 446
S26115 4 72
S15076 28 220
N40028 16 193
N04027 30 370
N46028 13 366
N43041 8 241
N18023 16 229
N15041 8 329
FI0306 2 8
N07092 8 183
S12024 8 283
N04008 8 327
N21004 4 377
2002lz11 4 4
S15080 32 259
FL1703 4 12
S23059 4 43
S07004 13 324
N26090 5 29
N07005 21 345
S07005 11 310
U3D27E 4 4
N15112 8 350
S18112 4 183
N04010 8 310
S04012 12 301
N49027 13 333
S04001 25 256
N29079 28 431
N18004 5 366
N35058 21 337
N43095 5 90
N07125 12 311
U08DF8 4 4
N07090 8 306
N04049 37 459
FE2701 1 27
S07075 59 323
N46058 7 192
S18104 8 128
FD2105 4 12
N21031 4 21
N23045 42 511
S21059 8 77
S23070 9 90
FF2903 1 4
N26039 10 479
S04066 57 361
N07089 8 355
N09041 16 105
N09070 36 356
N46030 13 335
N26017 22 393
U2B2E1 1 8
U3V017 8 8
N66044 4 64
N52048 4 109
FK1108 1 4
S09032 8 220
S01072 52 386
S01085 40 349
N15014 50 384
S18071 17 178
U05B2F 1 4
N29064 25 313
N21048 56 533
N35106 5 275
N18080 20 382
N01052 25 418
N32065 33 331
S04026 20 325
N21075 32 368
N12028 2 357
N18112 4 358
N15042 19 449
U00008 8 12
N32057 32 354
N43030 18 420
FH2702 4 8
S23079 4 12
N35041 17 464
S07008 13 268
N12078 13 389
S23066 8 68
N38037 29 449
S04067 57 367
FA3002 4 24
FL1605 1 9
S01065 67 423
N49061 4 196
N29037 24 298
N18028 4 86
S21021 5 118
N07073 44 400
N26025 4 187
N15063 29 439
N69014 3 80
S01118 36 344
N07027 19 420
S12124 4 217
S07012 13 293
N04044 12 288
N15122 5 357
S07108 4 50
S09121 32 321
S29002 4 28
S07125 16 264
N29026 1 10
N04118 20 404
N04086 26 360
N40060 20 252
S07067 48 310
S09119 43 402
N18025 1 286
S01026 20 367
S15112 12 280
N04079 55 396
S18077 24 192
N23011 17 270
N32047 32 441
N09066 16 442
N18118 6 368
U203EA 3 12
N12072 40 396
S26108 4 37
N46068 8 236
N12122 6 374
U12347 6 6
N01068 49 382
N55055 8 174
N04022 27 379
USZ0W1 8 8
N04088 18 354
N38075 20 373
N32084 16 153
N09112 4 227
N63042 1 102
N26037 25 340
S18109 18 257
N18068 30 387
N07016 24 370
N12001 1 299
S18016 9 153
N23056 25 431
N38056 24 195
S09067 28 262
N12088 24 380
N57016 4 38
S15022 6 222
S12075 67 287
N23070 16 319
N12042 27 332
U667AA 4 4
N46025 8 124
S12089 4 108
N55028 10 186
N57050 12 149
U97832 8 24
S12085 21 250
FB1901 4 28
FK2205 1 14
N60021 4 154
N21013 14 329
S26106 4 40
U0B905 1 12
N38088 1 5
S01031 23 259
S21024 1 110
S09117 30 360
S09054 12 249
S15070 24 189
S09064 24 294
N38048 20 358
S01083 40 358
N18067 24 372
N29017 1 375
S07117 35 387
N23037 31 281
N01049 44 437
N26082 28 470
N15089 24 354
N09111 4 46
S12033 1 108
FD1105 1 4
S09075 56 309
FD1002 4 12
FF1602 4 20
U000na 4 4
S15120 2 180
S01124 20 349
N66037 4 76
N35062 21 327
N04093 15 92
U7U03R 1 22
N15057 38 464
N46056 8 172
UFFFFF 4 4
FB1602 4 16
N38051 11 349
N35001 9 377
S12028 1 245
S21080 9 75
