Field "Less scattered" "Good WCS" "Failed Mask" "Poor WCS" "Failed WCS" tot fr na
FJ3004 4 12 0 0 0 12.0 0.3333333333333333 F
FB2008 4 8 0 0 0 8.0 0.5 F
FL1801 4 8 0 0 0 8.0 0.5 F
FC0602 8 13 0 0 0 13.0 0.6153846153846154 F
FJ2307 4 8 0 0 0 8.0 0.5 F
FD1801 12 29 4 0 3 36.0 0.3333333333333333 F
FB2506 4 16 0 0 0 16.0 0.25 F
FJ0806 4 20 0 0 0 20.0 0.2 F
FE1601 4 12 0 0 0 12.0 0.3333333333333333 F
FC2701 4 12 4 0 0 16.0 0.25 F
FK1301 4 28 0 0 0 28.0 0.14285714285714285 F
FL2903 16 20 4 0 0 24.0 0.6666666666666666 F
FH2902 4 8 0 0 0 8.0 0.5 F
FK2006 8 14 0 0 0 14.0 0.5714285714285714 F
FC0404 8 16 0 0 0 16.0 0.5 F
FE0101 4 12 4 0 0 16.0 0.25 F
S01003 153 177 16 0 56 249.0 0.6144578313253012 S
FK2206 4 13 0 0 0 13.0 0.3076923076923077 F
FC1401 4 24 4 0 0 28.0 0.14285714285714285 F
FK0302 4 20 0 0 0 20.0 0.2 F
N46065 250 251 4 0 1 256.0 0.9765625 N
FK1302 4 28 0 0 0 28.0 0.14285714285714285 F
FD2002 4 12 0 0 0 12.0 0.3333333333333333 F
FJ1306 12 16 0 0 0 16.0 0.75 F
FJ2405 4 8 0 0 0 8.0 0.5 F
FD1804 4 16 0 0 0 16.0 0.25 F
FA0801 12 16 0 0 0 16.0 0.75 F
FJ1208 4 8 0 0 0 8.0 0.5 F
U00003 20 66 6 0 3 75.0 0.26666666666666666 U
FJ1901 9 17 0 0 0 17.0 0.5294117647058824 F
FC1003 4 12 0 0 0 12.0 0.3333333333333333 F
FK2205 4 13 0 0 1 14.0 0.2857142857142857 F
N18054 472 473 36 0 0 509.0 0.9273084479371316 N
FA1502 8 20 0 0 0 20.0 0.4 F
FK1002 8 12 0 0 0 12.0 0.6666666666666666 F
FD2604 4 8 0 0 0 8.0 0.5 F
FB1904 12 16 0 0 0 16.0 0.75 F
FK1204 8 20 0 0 0 20.0 0.4 F
N66019 90 91 0 0 2 93.0 0.967741935483871 N
FK2106 4 12 0 0 0 12.0 0.3333333333333333 F
FA1606 8 12 0 0 0 12.0 0.6666666666666666 F
FJ0905 4 16 0 0 0 16.0 0.25 F
FF1701 4 20 4 0 0 24.0 0.16666666666666666 F
FJ2105 10 23 0 0 1 24.0 0.4166666666666667 F
FL3104 4 8 0 0 0 8.0 0.5 F
FK1703 7 19 0 0 0 19.0 0.3684210526315789 F
FL1602 8 16 0 0 0 16.0 0.5 F
FB2405 4 8 0 0 0 8.0 0.5 F
FB0103 4 20 0 0 0 20.0 0.2 F
FA2602 12 16 0 0 0 16.0 0.75 F
FC0902 4 16 0 0 0 16.0 0.25 F
FI1902 5 13 0 0 0 13.0 0.38461538461538464 F
FE1202 4 12 0 0 0 12.0 0.3333333333333333 F
FL1603 12 17 0 0 3 20.0 0.6 F
FC1707 8 20 0 0 0 20.0 0.4 F
FK1304 8 16 0 0 0 16.0 0.5 F
FJ1803 4 8 0 0 0 8.0 0.5 F
FI2503 4 12 0 0 0 12.0 0.3333333333333333 F
FL0901 5 9 0 0 0 9.0 0.5555555555555556 F
FA1601 4 12 0 0 0 12.0 0.3333333333333333 F
FJ1403 12 20 0 0 0 20.0 0.6 F
FI1502 4 18 0 0 0 18.0 0.2222222222222222 F
FI0301 8 12 0 0 0 12.0 0.6666666666666666 F
FG0202 5 9 0 0 0 9.0 0.5555555555555556 F
FA1501 8 16 0 0 0 16.0 0.5 F
N04017 225 229 15 0 2 246.0 0.9146341463414634 N
FD2702 4 8 0 0 0 8.0 0.5 F
FC2102 8 12 0 0 0 12.0 0.6666666666666666 F
FK1101 4 20 0 0 0 20.0 0.2 F
FF1602 4 16 4 0 0 20.0 0.2 F
FD0903 9 13 0 0 0 13.0 0.6923076923076923 F
FL2105 4 8 0 0 0 8.0 0.5 F
N29038 523 525 32 0 1 558.0 0.9372759856630825 N
FC2404 8 12 0 0 0 12.0 0.6666666666666666 F
FK1608 5 13 0 0 0 13.0 0.38461538461538464 F
FJ2101 5 17 0 0 0 17.0 0.29411764705882354 F
FC3002 8 16 0 0 0 16.0 0.5 F
FA1603 8 12 0 0 0 12.0 0.6666666666666666 F
FK1006 4 8 0 0 0 8.0 0.5 F
FB2503 4 12 0 0 0 12.0 0.3333333333333333 F
FB0801 4 17 0 0 0 17.0 0.23529411764705882 F
FA3003 8 28 4 0 0 32.0 0.25 F
U8L08W 8 13 0 0 0 13.0 0.6153846153846154 U
FC2802 8 12 0 0 0 12.0 0.6666666666666666 F
FJ0201 4 8 0 0 0 8.0 0.5 F
FA3102 5 13 2 0 0 15.0 0.3333333333333333 F
FD1604 8 12 4 0 0 16.0 0.5 F
FG1801 4 16 0 0 0 16.0 0.25 F
FJ3005 8 16 0 0 0 16.0 0.5 F
FB1906 8 12 0 0 0 12.0 0.6666666666666666 F
FI1102 9 17 0 0 0 17.0 0.5294117647058824 F
FB1902 12 16 0 0 4 20.0 0.6 F
FI1906 4 8 0 0 0 8.0 0.5 F
FB1901 12 24 0 0 4 28.0 0.42857142857142855 F
USWAN2 4 31 0 0 0 31.0 0.12903225806451613 U
FJ0205 4 8 0 0 0 8.0 0.5 F
FE0803 21 36 0 0 0 36.0 0.5833333333333334 F
S21080 63 66 4 0 5 75.0 0.84 S
N26022 396 399 1 0 4 404.0 0.9801980198019802 N
UCOV10 8 12 0 0 0 12.0 0.6666666666666666 U
FE1402 4 12 0 0 0 12.0 0.3333333333333333 F
N35076 375 376 28 0 1 405.0 0.9259259259259259 N
FI1302 4 12 0 0 0 12.0 0.3333333333333333 F
FL0505 8 12 0 0 0 12.0 0.6666666666666666 F
FJ0803 4 12 0 0 0 12.0 0.3333333333333333 F
N12048 454 456 31 0 1 488.0 0.930327868852459 N
FD0204 5 9 0 0 0 9.0 0.5555555555555556 F
FK1502 8 24 0 0 0 24.0 0.3333333333333333 F
FB0904 4 8 0 0 0 8.0 0.5 F
FL3103 8 12 0 0 0 12.0 0.6666666666666666 F
FL1901 4 12 16 0 0 28.0 0.14285714285714285 F
FJ2708 9 13 0 0 0 13.0 0.6923076923076923 F
FL0101 4 24 0 0 0 24.0 0.16666666666666666 F
FJ1102 4 16 0 0 0 16.0 0.25 F
FA0702 4 8 0 0 0 8.0 0.5 F
FL3109 8 15 0 0 0 15.0 0.5333333333333333 F
FJ1706 4 8 0 0 0 8.0 0.5 F
FI3001 8 24 0 0 0 24.0 0.3333333333333333 F
FJ3106 4 8 0 1 0 9.0 0.4444444444444444 F
N12065 410 411 33 0 3 447.0 0.9172259507829977 N
FK1802 4 27 0 0 2 29.0 0.13793103448275862 F
FF1002 8 12 0 0 0 12.0 0.6666666666666666 F
FJ1401 4 16 0 0 0 16.0 0.25 F
FA0204 8 12 0 0 0 12.0 0.6666666666666666 F
FK1702 4 27 0 0 1 28.0 0.14285714285714285 F
FI1605 4 16 0 0 0 16.0 0.25 F
FB2601 5 29 0 0 0 29.0 0.1724137931034483 F
FK1202 12 32 0 0 0 32.0 0.375 F
FC0908 4 8 0 0 0 8.0 0.5 F
FC0201 8 20 0 0 0 20.0 0.4 F
U73P06 4 8 0 0 0 8.0 0.5 U
FA0703 4 8 0 0 0 8.0 0.5 F
FB2103 8 24 0 0 0 24.0 0.3333333333333333 F
FK1605 5 17 0 0 0 17.0 0.29411764705882354 F
FI0401 12 16 0 0 0 16.0 0.75 F
FB0104 8 20 0 0 0 20.0 0.4 F
FB1502 4 8 0 0 0 8.0 0.5 F
